droplet_size,ncols,ndroplets,nrows,nservers,nvectors,straggling_factor,wait_for,delay
32,32,2960,31573,20,200,1.0,10,470871693.31165236
32,32,2961,31584,21,210,1.0,11,470343803.52166146
32,32,2970,31680,22,220,1.0,11,470754288.95203567
32,32,2976,31744,24,240,1.0,12,470498199.347268
32,32,2982,31808,42,420,1.0,21,468569126.1008731
32,32,2989,31883,49,490,1.0,25,469350031.51418996
32,32,2990,31893,65,650,1.0,33,470665616.9057629
32,32,2992,31915,68,680,1.0,34,471884111.48940957
32,32,2993,31925,73,730,1.0,37,473195062.83991593
32,32,3000,32000,75,750,1.0,38,474246094.10689586
32,32,3003,32032,77,770,1.0,39,475003974.5770789
32,32,3008,32085,94,940,1.0,47,474729862.97206795
32,32,3016,32171,104,1040,1.0,52,477012689.5464616
32,32,3025,32267,121,1210,1.0,61,477972179.72580636
32,32,3040,32427,152,1520,1.0,76,480533766.53768355
32,32,3042,32448,169,1690,1.0,85,480916205.7035864
32,32,3043,32459,179,1790,1.0,90,479564986.0747987
32,33,3056,32597,191,1910,1.0,96,496704567.9414784
32,33,3060,32640,204,2040,1.0,102,497834638.11700815
32,33,3066,32704,219,2190,1.0,110,500048250.24428016
32,33,3068,32725,236,2360,1.0,118,499234765.48630434
32,33,3081,32864,237,2370,1.0,119,501479009.3821793
32,33,3084,32896,257,2570,1.0,129,502141335.8424271
32,33,3091,32971,281,2810,1.0,141,503450391.0795971
32,33,3102,33088,282,2820,1.0,141,504775565.50462604
32,33,3110,33173,311,3110,1.0,156,506567205.9989848
32,33,3120,33280,312,3120,1.0,156,508267550.1957956
32,33,3123,33312,347,3470,1.0,174,508378940.4186418
32,33,3125,33333,625,6250,1.0,313,511297587.76541924
